PERMITTED_VALUE	LONG_NAME	DEFINITION
Data not available	Source Data Not Available	Data from an original source is not present, accessible or ready for use or service.
No	No	The non-affirmative response to a question.
Not applicable	Not Applicable	Determination of a value is not relevant in the current context.
Not reported	Not Reported	Not provided or available.
Pending	Pending	Not yet decided or settled; awaiting conclusion or confirmation.
Refused	Refuse	To decline to do, accept, give, or allow something.
Unknown	Unknown	Not known, not observed, not recorded, or refused.
Yes	Yes	The affirmative response to a question.
