PERMITTED_VALUE	LONG_NAME	DEFINITION
Hispanic or Latino	Hispanic or Latino	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term, 'Spanish origin,' can be used in addition to 'Hispanic or Latino.' (OMB)
Not Hispanic or Latino	Not Hispanic or Latino	A person not of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
Not allowed to collect	Not Allowed To Collect	An indicator that specifies that a collection event was not permitted.
Not reported	Not Reported	Not provided or available.
Unknown	Unknown	Not known, not observed, not recorded, or refused.
